,file,dialogId,ID,t,name,initialQuestion,question,answer,rank,nResult,nResult_reduction,delta_nResults,delta_Rank
0,20220131--quantEvalAllExcel.xlsx,4,0,0,Änderung/Wechsel der Hauptwohnung,Ummeldung,initialQuery,False,3.0,7.0,,,
1,20220131--quantEvalAllExcel.xlsx,4,0,1,Änderung/Wechsel der Hauptwohnung,Ummeldung,Geht es bei Ihrem Anliegen um anmeldung?,True,1.0,3.0,0.5714285714285714,4.0,2.0
2,20220131--quantEvalAllExcel.xlsx,19,2,0,Erstattung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Arbeitgeber/innen,Pcr test positiv brauche ich eine Krankschreibung vom Arzt für den Arbeitgeber,initialQuery,False,4.0,13.0,,,
3,20220131--quantEvalAllExcel.xlsx,19,2,1,Erstattung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Arbeitgeber/innen,Pcr test positiv brauche ich eine Krankschreibung vom Arzt für den Arbeitgeber,Geht es bei Ihrem Anliegen um approbation?,False,4.0,6.0,0.5384615384615384,7.0,0.0
4,20220131--quantEvalAllExcel.xlsx,19,2,2,Erstattung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Arbeitgeber/innen,Pcr test positiv brauche ich eine Krankschreibung vom Arzt für den Arbeitgeber,Geht es bei Ihrem Anliegen um coronavirus?,True,2.0,3.0,0.5,3.0,2.0
5,20220131--quantEvalAllExcel.xlsx,19,3,0,Erstattung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Arbeitgeber/innen,Quarantäne Krankschreibung vom Arzt,initialQuery,False,1.0,10.0,,,
6,20220131--quantEvalAllExcel.xlsx,19,3,1,Erstattung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Arbeitgeber/innen,Quarantäne Krankschreibung vom Arzt,Geht es bei Ihrem Anliegen um erteilung?,False,1.0,4.0,0.6,6.0,0.0
7,20220131--quantEvalAllExcel.xlsx,19,3,2,Erstattung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Arbeitgeber/innen,Quarantäne Krankschreibung vom Arzt,Geht es bei Ihrem Anliegen um absonderung?,True,1.0,2.0,0.5,2.0,0.0
8,20220131--quantEvalAllExcel.xlsx,23,4,0,Zulassung eines Fahrzeuges mit auswärtigem Kennzeichen mit Halterwechsel,Termin für Zulassung Gebrauchtwagen,initialQuery,False,7.0,104.0,,,
9,20220131--quantEvalAllExcel.xlsx,23,4,1,Zulassung eines Fahrzeuges mit auswärtigem Kennzeichen mit Halterwechsel,Termin für Zulassung Gebrauchtwagen,Geht es bei Ihrem Anliegen um zulassung?,True,7.0,37.0,0.6442307692307692,67.0,0.0
10,20220131--quantEvalAllExcel.xlsx,23,4,2,Zulassung eines Fahrzeuges mit auswärtigem Kennzeichen mit Halterwechsel,Termin für Zulassung Gebrauchtwagen,Geht es bei Ihrem Anliegen um fahrzeug?,True,6.0,17.0,0.5405405405405406,20.0,1.0
11,20220131--quantEvalAllExcel.xlsx,23,4,3,Zulassung eines Fahrzeuges mit auswärtigem Kennzeichen mit Halterwechsel,Termin für Zulassung Gebrauchtwagen,Geht es bei Ihrem Anliegen um anmelden?,True,5.0,8.0,0.5294117647058824,9.0,1.0
12,20220131--quantEvalAllExcel.xlsx,23,4,4,Zulassung eines Fahrzeuges mit auswärtigem Kennzeichen mit Halterwechsel,Termin für Zulassung Gebrauchtwagen,Geht es bei Ihrem Anliegen um anmeldung?,True,4.0,4.0,0.5,4.0,1.0
13,20220131--quantEvalAllExcel.xlsx,23,4,5,Zulassung eines Fahrzeuges mit auswärtigem Kennzeichen mit Halterwechsel,Termin für Zulassung Gebrauchtwagen,Geht es bei Ihrem Anliegen um halterwechsel?,True,2.0,2.0,0.5,2.0,2.0
14,20220131--quantEvalAllExcel.xlsx,36,7,0,Meldebescheinigung beantragen,Genesenen Bescheinigung,initialQuery,False,1.0,58.0,,,
15,20220131--quantEvalAllExcel.xlsx,36,7,1,Meldebescheinigung beantragen,Genesenen Bescheinigung,Geht es bei Ihrem Anliegen um bescheinigung?,True,1.0,21.0,0.6379310344827587,37.0,0.0
